DEPARTAMENTO,PROVINCIA ,DISTRITO,UBIGEO,GOB_LOCAL,RUC,PLACA,NUM_ASIENTOS,ANIO_FABRIC,TIPO_COMBUST,PESO_SECO,PESO_BRUTO,LONGITUD,ALTURA,ANCHURA,CARGA_UTIL,NUM_PASAJ,MARCA,MODELO,COLOR,CLASE,TRAMITE,FECHA_TRAM,MODALIDAD,FECHA_EMI,FECHA_CADUC,RUC_EMPRESA,TIP_SERV,RUTA,CATEGORIA,PROPIETARIO
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M2T511,20,2013,BI-COMBUSTIBLE,2.550,3.910,5.990,2.280,1.880,1.360,19,JOYLONG,HKL6600,BLANCO,COMBI,RENOVACION DE CONSECION,20230117,CAMIONETA RURAL,20220813,20270312,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,8b2a8ce20a8a6607a01b32aa8dda3bf2
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M2T526,20,2013,BI-COMBUSTIBLE,2.550,3.910,5.990,2.280,1.880,1.360,19,JOYLONG,HKL6600,BLANCO,COMBI,ACTUALIZAR DATOS AL SISTEMA,20220920,CAMIONETA RURAL,20220813,20250813,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,ae3e7c2aea85358a0a60389728bc643f
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M2U359,20,2013,BI-COMBUSTIBLE,2.530,3.910,5.990,2.280,1.880,1.380,19,JOYLONG,HKL6600,PLATA,COMBI,RENOVACION DE CONSECION,20221124,CAMIONETA RURAL,20221208,20271208,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,34f3dfa7521421f23824d7838d5b4a3b
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M2W355,20,2013,DIESEL,2.580,3.910,5.990,2.280,1.830,1.410,19,JOYLONG,NKL6600C,BLANCO/BEIGE,COMBI,ACTUALIZACION DE DATOS,20180104,CAMIONETA RURAL,20180112,20210112,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M1,5797ada7d49bdf255d96ab41936bd285
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M2W433,19,2013,DIESEL,2.500,3.900,5.990,2.280,1.880,1.400,18,JOYLONG,HKL6600C,PLATA GRIS,OMNIBUS,ACTUALIZACION DE DATOS,20230121,OMNIBUS,20230110,20240109,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,80a6f33fbb666f816a8fc83eb6726635
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M3L163,20,2014,DIESEL,2.500,3.910,5.890,2.285,1.880,1.410,19,JOYLONG,HKL6600C,BLANCO,CUSTER,RENOVACION DE CONSECION,20221124,CAMIONETA RURAL,20221214,20270312,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,34f3dfa7521421f23824d7838d5b4a3b
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M4L720,20,2013,BI-COMBUSTIBLE,2.530,3.910,5.990,2.280,1.880,1.380,19,JOYLONG,HKL6600C,BLANCO,OMNIBUS,RENOVACION DE CONSECION,20221124,CAMIONETA RURAL,20220809,20270312,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,1ed2662d1235926c3cf1098c56d7861e
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M4M770,19,2013,DIESEL,2.500,3.910,5.990,2.280,1.880,1.410,18,JOYLONG,HKL6600C,GRIS,COMBI,RENOVACION DE CONSECION,20230117,CAMIONETA RURAL,20220813,20270312,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,72038ee8a9be61f10fa5b34568a359c6
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M4M967,20,2013,BI-COMBUSTIBLE,2.560,3.910,5.990,2.280,1.880,1.350,19,JOYLONG,HKL6600,GRIS,COMBI,RENOVACION DE CONSECION,20230117,CAMIONETA RURAL,20220813,20270312,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,72038ee8a9be61f10fa5b34568a359c6
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M4O828,19,2013,BI-COMBUSTIBLE,2.580,3.919,5.990,2.285,1.880,1.330,18,JOYLONG,HKL6600,BLANCO,OMNIBUS,ACTUALIZAR DATOS AL SISTEMA,20230703,CAMIONETA RURAL,20230814,20270312,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,5c411d297dcecd010c986769323bba6f
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M4S912,19,2013,DIESEL,2.500,3.910,5.990,2.285,1.880,1.410,18,JOYLONG,HKL6600C,PLATA,AUTOMOVIL,ACTUALIZAR DATOS AL SISTEMA,20221121,OMNIBUS,20200813,20230812,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,8b2a8ce20a8a6607a01b32aa8dda3bf2
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,MPCH,20141784901,M4Y920,20,2013,DIESEL,2.521,3.921,5.080,2.285,1.800,1.400,19,JOYLONG,HKL6600C,GRIS,COMBI,ACTUALIZAR DATOS AL SISTEMA,20210506,CAMIONETA RURAL,20210813,20240813,20271639717,INTERURBANO,CHICLAYO - ZAÑA - CAYALTI  Y  VICEVERSA,M2,76b2537b58117ab3c1a9d345929837d0
